node_x,node_y,hamming
80,57,1
90,57,1
130,57,1
9,58,1
31,58,1
105,58,1
3,59,1
51,59,1
75,59,1
124,59,1
54,60,1
123,60,1
12,61,1
39,61,1
139,61,1
21,62,1
41,62,1
66,62,1
79,62,1
109,62,1
18,63,1
95,63,1
138,63,1
142,63,1
149,63,1
6,64,1
20,64,1
33,64,1
44,64,1
119,64,1
28,65,1
48,65,1
57,65,1
67,65,1
10,66,1
11,66,1
62,66,1
80,66,1
86,66,1
104,66,1
18,67,1
65,67,1
82,67,1
90,67,1
12,68,1
33,68,1
44,68,1
139,68,1
51,69,1
53,69,1
75,69,1
3,70,1
18,70,1
6,71,1
26,71,1
33,71,1
56,71,1
83,71,1
3,72,1
75,72,1
3,73,1
52,73,1
128,73,1
142,73,1
24,74,1
28,74,1
111,74,1
59,75,1
69,75,1
72,75,1
17,76,1
30,76,1
47,76,1
5,77,1
52,77,1
128,77,1
106,78,1
129,78,1
32,79,1
62,79,1
86,79,1
95,79,1
117,79,1
149,79,1
15,80,1
42,80,1
48,80,1
57,80,1
66,80,1
0,81,1
46,81,1
28,82,1
49,82,1
67,82,1
87,82,1
11,83,1
16,83,1
51,83,1
71,83,1
4,84,1
10,84,1
98,84,1
140,84,1
32,85,1
107,85,1
149,85,1
28,86,1
48,86,1
66,86,1
79,86,1
87,86,1
18,87,1
82,87,1
86,87,1
95,87,1
104,87,1
19,88,1
23,88,1
108,88,1
32,89,1
117,89,1
122,89,1
126,89,1
17,90,1
42,90,1
49,90,1
57,90,1
67,90,1
29,91,1
46,91,1
146,91,1
27,92,1
44,92,1
45,92,1
119,92,1
43,93,1
54,93,1
97,94,1
99,94,1
132,94,1
63,95,1
79,95,1
87,95,1
109,95,1
55,96,1
127,96,1
50,97,1
94,97,1
2,98,1
24,98,1
84,98,1
94,99,1
144,99,1
6,100,1
24,100,1
114,100,1
122,101,1
126,101,1
33,102,1
39,102,1
56,102,1
139,102,1
9,103,1
133,103,1
13,104,1
42,104,1
49,104,1
66,104,1
87,104,1
109,104,1
12,105,1
21,105,1
58,105,1
78,106,1
116,106,1
148,106,1
21,107,1
39,107,1
85,107,1
25,108,1
36,108,1
88,108,1
52,109,1
62,109,1
95,109,1
104,109,1
142,109,1
1,110,1
8,110,1
31,111,1
32,111,1
74,111,1
5,112,1
126,112,1
29,113,1
37,113,1
38,113,1
47,113,1
146,113,1
10,114,1
16,114,1
100,114,1
5,115,1
35,115,1
0,116,1
106,116,1
135,116,1
79,117,1
89,117,1
145,117,1
3,118,1
34,118,1
128,118,1
7,119,1
35,119,1
64,119,1
92,119,1
43,120,1
136,120,1
18,121,1
43,121,1
131,121,1
89,122,1
101,122,1
145,122,1
60,123,1
17,124,1
37,124,1
59,124,1
141,124,1
17,125,1
55,125,1
21,126,1
89,126,1
101,126,1
112,126,1
43,127,1
96,127,1
131,127,1
39,128,1
73,128,1
77,128,1
118,128,1
78,129,1
23,130,1
24,130,1
57,130,1
42,131,1
55,131,1
121,131,1
127,131,1
48,132,1
50,132,1
94,132,1
12,133,1
103,133,1
43,134,1
4,135,1
116,135,1
120,136,1
145,136,1
0,137,1
20,137,1
41,137,1
50,138,1
63,138,1
61,139,1
68,139,1
102,139,1
28,140,1
84,140,1
8,141,1
16,141,1
124,141,1
42,142,1
63,142,1
73,142,1
109,142,1
21,143,1
33,143,1
99,144,1
117,145,1
122,145,1
136,145,1
53,146,1
91,146,1
113,146,1
0,147,1
19,147,1
106,148,1
48,149,1
63,149,1
79,149,1
85,149,1
