entry_id,entry_name
1141,The Master of the Golden Tower (Jinlouzi 金樓子)
1144,The Yijing 易經 (The Classic of Changes)
1149,Christianity in Tang China
1153,Russian Orthodox Mission in Alaska
1154,The Cult of the Fox
1156,Solovetski monastery
1158,Early Daoist text—Commands and Admonitions for the Families of the Great Dao (Dadaojia lingjie大道家令戒)
1160,Wuzhen pian 悟真篇
1162,Lingbao dafa
1170,Chongyang Lijiao Shiwu Lun 重陽立教十五論
1172,Twofold Mystery (Chongxuan 重玄)
1175,Religion in Northern Hejaz
1176,Shijing 詩經 (Classic of Odes)
1177,Orphic Tablets
1178,Modern Mystery School (MMS)
1180,Batak Traditional Religions
1182,Huainanzi 淮南子
1183,Religion at Nippur in the Ur III period
1188,Marmarini Stele
1189,Yādiya/Sam'al
1190,Ancient state of Urartu
1191,Religion in Greco-Roman Alexandria
1192,Kaharingan
1196,K’iche’ (Quiché)
1197,Atheism in the Soviet Union
1199,Tiv
1203,Book(s) of Daniel
1207,Female alchemy Tradition
1210,Mende
1218,Yiguan Dao/I-Kuan Tao 一貫道
1223,Toda
1224,Duren jing
1227,Polytheistic Pre-Islamic South Arabia
1228,Lesu
1231,"Shenxiao 神霄 (""""""""""""""""Divine Empyrean"""""""""""""""") Daoism"
1232,Book of Nut
1234,Ashanti
1239,Book(s) of Esther
1240,Azande
1241,Taiping 太平 Movement
1243,Shengjing zhijie
1246,Shilluk
1247,Exovedate
1248,Religion in the Old Assyrian Period
1250,Hanbalism
1251,Tsonga
1252,Shedachenglun 攝大乘論
1253,Damascus Document
1255,Julian Romance
1258,Religion in Judah
1260,Qiṣṣat Dhī al-Qarnayn
1265,Mozi 墨子
1268,Monotheistic Pre-Islamic South Arabia
1269,Ji shenzhou sanbao gantong lu 集神州三寶感通錄
1270,The Zhuangzi
1271,Command to Fu Yue 傅說之命
1272,"*The Heart is what is at the center, *Xin shi wei Zhong 心是謂中"
1279,Mandarese Muslims
1281,Otoro Nuba
1283,Butonese Muslims
1284,Religion of Phoenicia
1289,Buginese Muslims
1290,4QInstruction
1293,The Zapotec or Ben 'Zaa (The Cloud People)
1294,The Autobiography of Adad-guppi
1295,Donatism
1297,Chen-Wei Texts
1299,Russians (of Viriatino Village)
1300,"Enlace de Agentes de Pastoral Indígena (EAPI, Network of Indigenous Ministry Agents)"
1301,Moche (Mochica)
1304,Peyote Religion (Peyotism) and the Native American Church
1307,Southern Baptists
1309,Circumcellions
1311,Jehovah's Witnesses
1312,Bishnoi
1319,Reginistas
1321,Mourides (Muridiyya)
1322,Pagans under the Emperor Julian
1323,Luguru
1324,Taiping jing
1326,Meher Kapısı inscription (Urartian text)
1328,Táin Bó Cúailnge
1330,Papyrus Amherst 63
1333,Cult of Thecla
1334,No-debt Movement in US Evangelicalism
1335,Congregation of the Oratory
1337,Tell Afis (Syria)
1338,The Sayings of the Desert Fathers
1341,Muslim Students Association of the United States and Canada
1342,Pauline Epistles
1344,Tibetan Nonsectarianism (ris med)
1345,A Sogdian Zoroastrian Prayer
