Source,Target,Weight
38,922,1
39,61,1
39,102,1
39,107,1
39,128,1
39,154,1
39,299,1
39,544,1
39,581,1
39,854,1
39,856,1
40,47,1
40,151,1
40,345,1
40,379,1
40,531,1
40,678,1
40,727,1
40,962,1
41,52,1
41,62,1
41,137,1
41,154,1
41,256,1
41,329,1
41,516,1
41,536,1
41,612,1
41,781,1
42,80,1
42,90,1
42,104,1
42,131,1
42,142,1
42,306,1
42,483,1
42,701,1
43,93,1
43,120,1
43,121,1
43,127,1
43,134,1
43,163,1
43,204,1
43,276,1
43,288,1
43,302,1
43,495,1
43,850,1
43,944,1
44,64,1
44,68,1
44,92,1
44,248,1
44,308,1
44,324,1
44,427,1
44,803,1
45,92,1
45,156,1
45,458,1
45,554,1
45,835,1
45,993,1
46,53,1
46,81,1
46,91,1
46,175,1
46,199,1
46,202,1
46,327,1
46,475,1
46,517,1
46,672,1
46,904,1
47,76,1
47,113,1
47,269,1
47,422,1
47,430,1
47,642,1
47,977,1
48,65,1
48,80,1
48,86,1
48,132,1
48,149,1
48,218,1
48,220,1
48,238,1
48,361,1
48,569,1
49,82,1
49,90,1
49,104,1
49,331,1
49,374,1
49,486,1
49,492,1
49,590,1
49,751,1
49,965,1
50,97,1
50,132,1
50,138,1
50,174,1
50,236,1
50,282,1
50,306,1
50,381,1
50,528,1
50,959,1
51,56,1
51,59,1
51,69,1
51,83,1
51,370,1
51,418,1
51,485,1
51,570,1
51,572,1
51,825,1
52,73,1
52,77,1
52,109,1
52,388,1
52,504,1
52,613,1
52,713,1
52,726,1
52,800,1
52,903,1
52,948,1
53,69,1
53,146,1
53,157,1
53,164,1
53,243,1
53,246,1
53,351,1
53,377,1
53,901,1
54,60,1
54,93,1
54,178,1
54,197,1
54,204,1
54,268,1
54,271,1
54,400,1
54,444,1
54,539,1
54,586,1
54,618,1
54,842,1
55,96,1
55,125,1
55,131,1
55,234,1
55,286,1
55,290,1
55,402,1
55,628,1
55,639,1
55,708,1
56,71,1
56,102,1
56,358,1
56,395,1
56,407,1
56,408,1
56,449,1
56,519,1
56,650,1
57,65,1
57,80,1
57,90,1
57,130,1
57,253,1
57,359,1
57,386,1
57,422,1
58,105,1
58,173,1
58,255,1
58,324,1
58,355,1
58,415,1
58,614,1
58,911,1
59,75,1
59,124,1
59,233,1
59,234,1
59,358,1
59,417,1
59,483,1
59,674,1
59,804,1
60,123,1
60,187,1
60,232,1
60,260,1
60,291,1
60,330,1
60,349,1
60,506,1
60,605,1
60,620,1
60,886,1
60,978,1
61,139,1
61,177,1
61,216,1
61,322,1
61,336,1
61,768,1
61,771,1
61,955,1
62,66,1
62,79,1
62,109,1
62,152,1
62,211,1
62,225,1
62,579,1
62,684,1
63,95,1
63,138,1
63,142,1
63,149,1
63,214,1
63,423,1
63,499,1
63,534,1
63,874,1
64,119,1
64,188,1
64,446,1
64,659,1
64,663,1
64,689,1
65,67,1
65,172,1
65,191,1
65,251,1
65,347,1
65,387,1
65,649,1
65,762,1
66,80,1
66,86,1
66,104,1
66,186,1
66,403,1
66,488,1
66,705,1
66,822,1
67,82,1
67,90,1
67,174,1
67,292,1
67,337,1
67,502,1
67,543,1
67,853,1
68,139,1
68,391,1
68,535,1
68,562,1
68,563,1
68,599,1
68,652,1
69,75,1
69,168,1
69,199,1
69,278,1
69,364,1
69,408,1
69,472,1
69,592,1
69,749,1
69,840,1
